中国台湾	8.4	19
中国大陆	8.3	74
中国香港	8.4	65
丹麦	9	2
伊朗	9	2
俄罗斯	8.3	1
冰岛	9.3	1
加拿大	8.4	18
南非	8.8	3
卢森堡	8.6	2
印度	8.6	8
奥地利	8.8	1
巴西	8.9	2
希腊	8.8	1
德国	8.7	25
意大利	9	12
捷克	8.4	2
新西兰	8.6	7
日本	8.7	51
比利时	8.4	3
法国	8.6	34
波兰	8.8	2
泰国	8.3	3
澳大利亚	8.5	10
爱尔兰	8.8	4
瑞典	9	2
瑞士	9.1	3
突尼斯	8.4	1
美国	8.5	275
英国	8.5	71
荷兰	8.6	2
西德	9.1	1
西班牙	8.7	6
阿根廷	8.8	1
阿联酋	8.3	1
韩国	8.7	16
